id,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
513,95000000.0,Secondary, Раменки,1.0,Moscow,4.0,201.0,100.0,15.0,14.0,23,Designer
514,125000000.0,Secondary, Китай-город,13.0,Moscow,4.0,109.0,90.0,10.0,2.0,9,Designer
515,170000000.0,Secondary, Баррикадная,15.0,Moscow,4.0,170.0,88.1,20.7,2.0,5,European-style renovation
516,42000000.0,Secondary, Фили,6.0,Moscow,4.0,113.0,59.3,16.0,4.0,44,Without renovation
517,270000000.0,Secondary, Белорусская,7.0,Moscow,4.0,316.0,161.9,32.8,6.0,6,Designer
518,59900000.0,Secondary, Улица 1905 года,13.0,Moscow,4.0,89.0,50.0,20.0,8.0,44,Designer
519,68000000.0,Secondary, Смоленская,4.0,Moscow,4.0,95.0,68.0,14.0,5.0,6,Designer
520,350000000.0,Secondary, Боровицкая,11.0,Moscow,4.0,216.0,152.0,20.0,4.0,6,Without renovation
521,190000000.0,Secondary, Улица 1905 года,10.0,Moscow,4.0,167.8,60.0,20.5,20.0,21,Designer
522,40000000.0,Secondary, Кунцевская,19.0,Moscow,4.0,97.9,65.0,10.0,6.0,12,Designer
523,67000000.0,Secondary, Охотный ряд,4.0,Moscow,4.0,84.8,59.0,10.0,2.0,8,Without renovation
524,80000000.0,Secondary, Динамо,17.0,Moscow,4.0,135.7,69.1,9.4,2.0,41,Designer
525,83000000.0,Secondary, Динамо,15.0,Moscow,4.0,138.3,84.2,6.5,24.0,41,Designer
526,110000000.0,Secondary, Динамо,15.0,Moscow,4.0,112.8,64.0,14.3,10.0,41,Designer
527,120000000.0,Secondary, Белорусская,16.0,Moscow,4.0,225.0,115.9,25.3,5.0,20,Without renovation
528,125000000.0,Secondary, Динамо,15.0,Moscow,4.0,135.3,95.9,6.0,37.0,41,Designer
529,155000000.0,Secondary, Добрынинская,4.0,Moscow,4.0,170.0,120.0,20.7,5.0,6,Designer
530,221000000.0,Secondary, Фрунзенская,8.0,Moscow,4.0,240.0,40.0,26.5,14.0,14,Designer
531,249990000.0,Secondary, Маяковская,2.0,Moscow,4.0,270.0,138.6,29.0,9.0,11,Designer
532,43000000.0,Secondary, Народное Ополчение,10.0,Moscow,4.0,108.0,56.7,15.6,11.0,54,Without renovation
533,130000000.0,Secondary, Минская,16.0,Moscow,4.0,203.4,105.0,23.5,10.0,17,Designer
534,155000000.0,Secondary, Спортивная,6.0,Moscow,4.0,179.2,92.7,21.5,2.0,6,Without renovation
535,156000000.0,Secondary, Спортивная,8.0,Moscow,4.0,140.0,72.9,18.2,5.0,15,Without renovation
536,180000000.0,Secondary, Спортивная,7.0,Moscow,4.0,186.8,96.6,22.1,7.0,11,Without renovation
537,92000000.0,Secondary, Арбатская,9.0,Moscow,4.0,169.0,87.6,20.6,6.0,6,Without renovation
538,120000000.0,Secondary, Аэропорт,12.0,Moscow,4.0,136.5,94.7,7.3,23.0,41,Designer
539,155000000.0,Secondary, Спортивная,6.0,Moscow,4.0,179.2,92.7,21.5,2.0,12,Without renovation
540,180000000.0,Secondary, Спортивная,7.0,Moscow,4.0,187.0,96.7,22.1,7.0,11,Without renovation
541,340000000.0,Secondary, Смоленская,13.0,Moscow,4.0,180.0,126.0,25.0,5.0,7,Designer
542,120000000.0,Secondary, Петровский Парк,15.0,Moscow,4.0,135.6,91.0,9.0,23.0,37,Designer
543,130000000.0,Secondary, Пушкинская,6.0,Moscow,4.0,121.0,63.3,16.7,4.0,7,Designer
